FundID,ISIN,CUSIP,Ticker,SEDOL,Basket Shares,Currency,Country Restriction,Trade Country,IDENTIFIER,CIN,SSC_ASSET_ID,ROUND LOT,TIP FACTOR,PAR,INTEREST RATE,MATURITY DATE,FUND TICKER,FUND NAME,BASKET DATE,CORPORATE ACTION FACTOR,INTEREST FACTOR,SUPPRESSPRICE,SUPPLEMENTAL_ID_1,SUPPLEMENTAL_ID_2,RIC,BBG,DERIV_TYPE
HRQ3,,,1AEM,,-101,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1AEM..C275.20260306,,1AEM  260306C00275000,1AEM CN 03/06/26 C275. Equity,OP
HRQY,,,1BCE,,-532,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1BCE..C35.20260306,,1BCE  260306C00035000,1BCE CN 03/06/26 C35. Equity,OP
HRCJ,,,1BMO,,-10,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1BMO..C204.20260306,,1BMO  260306C00204000,1BMO CN 03/06/26 C204. Equity,OP
HRCJ - TD,,,1BMO,,-17,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1BMO..P188.20260306,,1BMO  260306P00188000,1BMO CN 03/06/26 P188. Equity,OP
HRCJ,,,1BNS,,-20,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1BNS..C108.20260306,,1BNS  260306C00108000,1BNS CN 03/06/26 C108. Equity,OP
HRCJ - TD,,,1BNS,,-32,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1BNS..P100.20260306,,1BNS  260306P00100000,1BNS CN 03/06/26 P100. Equity,OP
HRQ2,,,1CCO,,-142,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1CCO..C160.20260306,,1CCO  260306C00160000,1CCO CN 03/06/26 C160. Equity,OP
HRCJ,,,1CM,,-20,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1CM..C138.20260306,,1CM   260306C00138000,1CM CN 03/06/26 C138. Equity,OP
HRCJ - TD,,,1CM,,-30,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1CM..P126.20260306,,1CM   260306P00126000,1CM CN 03/06/26 P126. Equity,OP
HRQR,,,1CNQ,,-201,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1CNQ..C54.20260306,,1CNQ  260306C00054000,1CNQ CN 03/06/26 C54. Equity,OP
HRQS,,,1ENB,,-169,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1ENB..C74.20260306,,1ENB  260306C00074000,1ENB CN 03/06/26 C74. Equity,OP
HRCJ,,,1NA,,-8,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1NA..C178.20260306,,1NA   260306C00178000,1NA CN 03/06/26 C178. Equity,OP
HRCJ - TD,,,1NA,,-16,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1NA..P166.20260306,,1NA   260306P00166000,1NA CN 03/06/26 P166. Equity,OP
HRQU,,,1RY,,-24,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1RY..C236.20260306,,1RY   260306C00236000,1RY CN 03/06/26 C236. Equity,OP
HRCJ,,,1RY,,-3,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1RY..C244.20260306,,1RY   260306C00244000,1RY CN 03/06/26 C244. Equity,OP
HRCJ - TD,,,1RY,,-8,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1RY..P228.20260306,,1RY   260306P00228000,1RY CN 03/06/26 P228. Equity,OP
HRQV,,,1SHOP,,-116,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1SHOP..C156.20260306,,1SHOP 260306C00156000,1SHOP CN 03/06/26 C156. Equity,OP
HRQX,,,1SU,,-113,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1SU..C75.20260306,,1SU   260306C00075000,1SU CN 03/06/26 C75. Equity,OP
HRQZ,,,1T,,-723,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1T..C20.20260306,,1T    260306C00020000,1T CN 03/06/26 C20. Equity,OP
HRQW,,,1TD,,-47,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1TD..C136.20260306,,1TD   260306C00136000,1TD CN 03/06/26 C136. Equity,OP
HRCJ,,,1TD,,-18,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1TD..C138.20260306,,1TD   260306C00138000,1TD CN 03/06/26 C138. Equity,OP
HRCJ - TD,,,1TD,,-27,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1TD..P128.20260306,,1TD   260306P00128000,1TD CN 03/06/26 P128. Equity,OP
HRTH,,,A,,-828,USD,N,US,,,,,,,,,,,,,,,EO.US.US.A..C140.20260220,,A     260220C00140000,A US 02/20/26 C140 EQUITY,OP
HRVG,,,AAL,,-69,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AAL..C15-5.20260220,,AAL   260220C00015500,AAL US 02/20/26 C15.5 EQUITY,OP
HRCL,,,AAPL,,-3,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AAPL..C265.20260220,,AAPL  260220C00265000,AAPL US 02/20/26 C265 EQUITY,OP
HRCL,,,AAPL,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AAPL..C270.20260220,,AAPL  260220C00270000,AAPL US 02/20/26 C270 EQUITY,OP
HRCL - TD,,,AAPL,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AAPL..P237-5.20260220,,AAPL  260220P00237500,AAPL US 02/20/26 P237.5 EQUITY,OP
HRCL - TD,,,AAPL,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AAPL..P242-5.20260220,,AAPL  260220P00242500,AAPL US 02/20/26 P242.5 EQUITY,OP
HRQO,,,AAPL,,-576,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AAPL..C280.20260306,,AAPL  260306C00280000,AAPL US 03/06/26 C280 EQUITY,OP
HRCL,,,AAPL,,-4,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AAPL..C285.20260306,,AAPL  260306C00285000,AAPL US 03/06/26 C285 EQUITY,OP
HRCL - TD,,,AAPL,,-7,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AAPL..P245.20260306,,AAPL  260306P00245000,AAPL US 03/06/26 P245 EQUITY,OP
HRQP,,,AAPL,,-52,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AAPL..C265.20260320,,AAPL  260320C00265000,AAPL US 03/20/26 C265 EQUITY,OP
HRQO,,,AAPL,,-509,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AAPL..C270.20260320,,AAPL  260320C00270000,AAPL US 03/20/26 C270 EQUITY,OP
HRCL,,,ABBV,,-3,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ABBV..C225.20260220,,ABBV  260220C00225000,ABBV US 02/20/26 C225 EQUITY,OP
HRCL,,,ABBV,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ABBV..C235.20260220,,ABBV  260220C00235000,ABBV US 02/20/26 C235 EQUITY,OP
HRCL - TD,,,ABBV,,-3,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ABBV..P200.20260220,,ABBV  260220P00200000,ABBV US 02/20/26 P200 EQUITY,OP
HRCL - TD,,,ABBV,,-3,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ABBV..P207-5.20260220,,ABBV  260220P00207500,ABBV US 02/20/26 P207.5 EQUITY,OP
HRCL,,,ABBV,,-6,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ABBV..C235.20260306,,ABBV  260306C00235000,ABBV US 03/06/26 C235 EQUITY,OP
HRCL - TD,,,ABBV,,-7,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ABBV..P215.20260306,,ABBV  260306P00215000,ABBV US 03/06/26 P215 EQUITY,OP
HRVG,,,ABNB,,-29,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ABNB..C132.20260220,,ABNB  260220C00132000,ABNB US 02/20/26 C132 EQUITY,OP
HRTH,,,ABT,,-733,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ABT..C122.20260220,,ABT   260220C00122000,ABT US 02/20/26 C122 EQUITY,OP
HR21,,,ACN,,-170,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ACN..C282-5.20260220,,ACN   260220C00282500,ACN US 02/20/26 C282.5 EQUITY,OP
HRT9,,,ACN,,-129,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ACN..C282-5.20260220,,ACN   260220C00282500,ACN US 02/20/26 C282.5 EQUITY,OP
HRQ3,,,AEM,,-87,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.AEM..C315.20260320,,AEM   260320C00315000,AEM CN 03/20/26 C315. Equity,OP
HRQM,,,AEM,,-24,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.AEM..C320.20260320,,AEM   260320C00320000,AEM CN 03/20/26 C320. Equity,OP
HRQ1,,,AEM,,-334,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.AEM..C320.20260320,,AEM   260320C00320000,AEM CN 03/20/26 C320. Equity,OP
HRCL,,,AMAT,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMAT..C350.20260220,,AMAT  260220C00350000,AMAT US 02/20/26 C350 EQUITY,OP
HRCL,,,AMAT,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMAT..C365.20260220,,AMAT  260220C00365000,AMAT US 02/20/26 C365 EQUITY,OP
HRCL - TD,,,AMAT,,-3,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMAT..P285.20260220,,AMAT  260220P00285000,AMAT US 02/20/26 P285 EQUITY,OP
HRCL - TD,,,AMAT,,-3,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMAT..P300.20260220,,AMAT  260220P00300000,AMAT US 02/20/26 P300 EQUITY,OP
HRCL,,,AMAT,,-3,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMAT..C375.20260306,,AMAT  260306C00375000,AMAT US 03/06/26 C375 EQUITY,OP
HRCL - TD,,,AMAT,,-3,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMAT..P280.20260306,,AMAT  260306P00280000,AMAT US 03/06/26 P280 EQUITY,OP
HR21,,,AMD,,-110,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMD..C240.20260220,,AMD   260220C00240000,AMD US 02/20/26 C240 EQUITY,OP
HRQF,,,AMD,,-779,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMD..C240.20260220,,AMD   260220C00240000,AMD US 02/20/26 C240 EQUITY,OP
HRQP,,,AMD,,-36,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMD..C240.20260220,,AMD   260220C00240000,AMD US 02/20/26 C240 EQUITY,OP
HRQP,,,AMD,,-23,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMD..C257-5.20260220,,AMD   260220C00257500,AMD US 02/20/26 C257.5 EQUITY,OP
HRQF,,,AMD,,-451,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMD..C215.20260306,,AMD   260306C00215000,AMD US 03/06/26 C215 EQUITY,OP
HRQF,,,AMD,,-857,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMD..C210.20260320,,AMD   260320C00210000,AMD US 03/20/26 C210 EQUITY,OP
HRQP,,,AMD,,-59,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMD..C210.20260320,,AMD   260320C00210000,AMD US 03/20/26 C210 EQUITY,OP
HRT9,,,AMZN,,-188,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C235.20260220,,AMZN  260220C00235000,AMZN US 02/20/26 C235 EQUITY,OP
HRQP,,,AMZN,,-34,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C240.20260220,,AMZN  260220C00240000,AMZN US 02/20/26 C240 EQUITY,OP
HRQB,,,AMZN,,-122,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C245.20260220,,AMZN  260220C00245000,AMZN US 02/20/26 C245 EQUITY,OP
HRQD,,,AMZN,,-672,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C245.20260220,,AMZN  260220C00245000,AMZN US 02/20/26 C245 EQUITY,OP
HRQP,,,AMZN,,-23,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C247-5.20260220,,AMZN  260220C00247500,AMZN US 02/20/26 C247.5 EQUITY,OP
HRCL,,,AMZN,,-3,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C252-5.20260220,,AMZN  260220C00252500,AMZN US 02/20/26 C252.5 EQUITY,OP
HRCL,,,AMZN,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C260.20260220,,AMZN  260220C00260000,AMZN US 02/20/26 C260 EQUITY,OP
HRQB,,,AMZN,,-137,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C220.20260306,,AMZN  260306C00220000,AMZN US 03/06/26 C220 EQUITY,OP
HRQD,,,AMZN,,-797,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C220.20260306,,AMZN  260306C00220000,AMZN US 03/06/26 C220 EQUITY,OP
HRCL,,,AMZN,,-5,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C225.20260306,,AMZN  260306C00225000,AMZN US 03/06/26 C225 EQUITY,OP
HRCL - TD,,,AMZN,,-6,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..P185.20260306,,AMZN  260306P00185000,AMZN US 03/06/26 P185 EQUITY,OP
HRQB,,,AMZN,,-166,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C215.20260320,,AMZN  260320C00215000,AMZN US 03/20/26 C215 EQUITY,OP
HRQD,,,AMZN,,-713,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C215.20260320,,AMZN  260320C00215000,AMZN US 03/20/26 C215 EQUITY,OP
