FundID,ISIN,CUSIP,Ticker,SEDOL,Currency,Country Restriction,Trade Country,IDENTIFIER,CIN,SSC_ASSET_ID,ROUND LOT,TIP FACTOR,PAR,INTEREST RATE,MATURITY DATE,FUND TICKER,FUND NAME,BASKET DATE,CORPORATE ACTION FACTOR,INTEREST FACTOR,SUPPRESSPRICE,SUPPLEMENTAL_ID_1,SUPPLEMENTAL_ID_2,RIC,BBG,DERIV_TYPE,Basket Shares
HRQ3,,,1AEM,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1AEM..C275.20260306,,1AEM  260306C00275000,1AEM CN 03/06/26 C275. EQUITY,OP,0.0
HRQY,,,1BCE,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1BCE..C35.20260306,,1BCE  260306C00035000,1BCE CN 03/06/26 C35. EQUITY,OP,0.0
HRCJ,,,1BMO,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1BMO..C204.20260306,,1BMO  260306C00204000,1BMO CN 03/06/26 C204. EQUITY,OP,0.0
HRCJ,,,1BNS,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1BNS..C108.20260306,,1BNS  260306C00108000,1BNS CN 03/06/26 C108. EQUITY,OP,0.0
HRQ2,,,1CCO,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1CCO..C160.20260306,,1CCO  260306C00160000,1CCO CN 03/06/26 C160. EQUITY,OP,0.0
HRCJ,,,1CM,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1CM..C138.20260306,,1CM   260306C00138000,1CM CN 03/06/26 C138. EQUITY,OP,0.0
HRQR,,,1CNQ,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1CNQ..C54.20260306,,1CNQ  260306C00054000,1CNQ CN 03/06/26 C54. EQUITY,OP,0.0
HRQS,,,1ENB,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1ENB..C74.20260306,,1ENB  260306C00074000,1ENB CN 03/06/26 C74. EQUITY,OP,0.0
HRCJ,,,1NA,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1NA..C178.20260306,,1NA   260306C00178000,1NA CN 03/06/26 C178. EQUITY,OP,0.0
HRQU,,,1RY,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1RY..C236.20260306,,1RY   260306C00236000,1RY CN 03/06/26 C236. EQUITY,OP,0.0
HRCJ,,,1RY,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1RY..C244.20260306,,1RY   260306C00244000,1RY CN 03/06/26 C244. EQUITY,OP,0.0
HRQV,,,1SHOP,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1SHOP..C156.20260306,,1SHOP 260306C00156000,1SHOP CN 03/06/26 C156. EQUITY,OP,0.0
HRQX,,,1SU,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.1SU..C75.20260306,,1SU   260306C00075000,1SU CN 03/06/26 C75. EQUITY,OP,0.0
