parent_fund,SUPPLEMENTAL_ID_1,Basket Shares
HR21,EO.US.US.AAPL..C252-5.20260220,-209
HR21,EO.US.US.ACN..C282-5.20260220,-170
HR21,EO.US.US.AMAT..C325.20260220,-6
HR21,EO.US.US.AMAT..C347-5.20260220,-84
HR21,EO.US.US.AMD..C240.20260220,-110
HR21,EO.US.US.ANET..C130.20260220,-266
HR21,EO.US.US.ANET..C145.20260220,-283
HR21,EO.US.US.AVGO..C350.20260220,-230
HR21,EO.US.US.CRM..C235.20260220,-334
HR21,EO.US.US.CSCO..C75.20260220,-987
HR21,EO.US.US.GOOGL..C330.20260220,-197
HR21,EO.US.US.INTU..C550.20260220,-43
HR21,EO.US.US.META..C612-5.20260220,-85
HR21,EO.US.US.MSFT..C457-5.20260220,-81
HR21,EO.US.US.MSI..C400.20260220,-98
HR21,EO.US.US.MU..C370.20260220,-176
HR21,EO.US.US.NOW..C137.20260220,-455
HR21,EO.US.US.NVDA..C182-5.20260220,-281
HR21,EO.US.US.ORCL..C185.20260220,-361
HR21,EO.US.US.PANW..C187-5.20260220,-388
HR21,EO.US.US.STX..C460.20260220,-188
HR21,EO.US.US.TXN..C195.20260220,-288
HR21,ST.CA.TO.TBIL,66681
HR21,ST.US.US.AAPL,109009
HR21,ST.US.US.ACN,105681
HR21,ST.US.US.AMAT,74674
HR21,ST.US.US.AMD,111848
HR21,ST.US.US.ANET,188500
HR21,ST.US.US.AVGO,85442
HR21,ST.US.US.CRM,131968
HR21,ST.US.US.CSCO,355131
HR21,ST.US.US.GOOGL,84583
HR21,ST.US.US.INTU,56116
HR21,ST.US.US.META,38717
HR21,ST.US.US.MSFT,65342
HR21,ST.US.US.MSI,69816
HR21,ST.US.US.MU,64495
HR21,ST.US.US.NOW,241588
HR21,ST.US.US.NVDA,147606
HR21,ST.US.US.ORCL,172441
HR21,ST.US.US.PANW,161148
HR21,ST.US.US.STX,62929
HR21,ST.US.US.TXN,131034
HRA1,ST.CA.TO.HHL,15174350
HRA3,ST.CA.TO.HTA,5575157
HRA4,ST.CA.TO.HUTL,5558962
HRA7,EO.US.US.XYZ..C53.20260313,-90
HRA7,EO.US.US.XYZ..C58.20260306,-37
HRA7,EO.US.US.XYZ..C65.20260220,-52
HRA7,ST.US.US.XYZ,53343
HRA8,EO.US.US.CRWD..C450.20260220,-81
HRA8,EO.US.US.CRWD..C485.20260220,-147
HRA8,ST.US.US.CRWD,77696
HRA9,EO.US.US.JNJ..C220.20260220,-16
HRA9,EO.US.US.JNJ..C230.20260306,-14
HRA9,ST.US.US.JNJ,7725
HRAS,EO.US.US.EDV..C67.20260220,-1873
HRAS,EO.US.US.TLT..C88-5.20260220,-3019
HRAS,EO.US.US.TLT..C88.20260220,-4577
HRAS,EO.US.US.TLT..C90.20260313,-7500
HRAS,ST.CA.TO.TBIL,37624
HRAS,ST.US.US.EDV,351265
HRAS,ST.US.US.TLH,116864
HRAS,ST.US.US.TLT,2860883
HRAS,ST.US.US.VGLT,534506
HRAX,ST.CA.TO.HBF,10400134
HRAX,ST.CA.TO.HHIH,5166841
HRAX,ST.CA.TO.HHL,7850147
HRAX,ST.CA.TO.HIND,2940668
HRAX,ST.CA.TO.HLIF,5270902
HRAX,ST.CA.TO.HTA,4828530
HRAX,ST.CA.TO.HUBL,3184089
HRAX,ST.CA.TO.HUTL,2716494
HRAX,ST.CA.TO.HVOI,2274938
HRAX,ST.CA.TO.TRVI,2220267
HRCF,EO.US.US.JPM..C310.20260306,-6
HRCF,EO.US.US.JPM..C310.20260320,-6
HRCF,EO.US.US.JPM..C315.20260220,-11
HRCF,ST.US.US.JPM,6944
